Album,Link,Title,Year,Artist,Lyrics
Sink or Swim,https://songmeanings.com/songs/view/3530822107858671244/,Red in the Morning,2008,The Gaslight Anthem,"Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

And it was all completely wrong, Virginia
You were much too much for me
I was a boy on the lawn, with his eyes to the sky
You were Garbo, smoke, and deceit

And it was Saturday, September, and fire
It was a backdrop set in your smile
It was all I could want in the sway of the song
I was haunted for so many years

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let it slide, slide, roll off your mind
Like I was a movie you'd seen

And it was all just a crime, Virginia
Let your fire be mercy to me
I was a boy in your arms, safe in your arms
And you swore like a promise to me

That I would never, never, never leave your heart
No I would never, never, never leave your heart
But where are you now, I can still feel you now 
And I hear all your songs in the breeze

Let it ride, let it ride, let it roll off your mind
Don't say a single world, get back inside
Let me drive, let me drive, disappear in the night
Like I was a ghost in your dreams

Say goodbye, say goodbye, give a kiss and a sigh
Never, never, never bring me back to your mind
Let me slide, slide, roll off your mind
Like I was a movie you'd seen

Let it ride
"
Sink or Swim,https://songmeanings.com/songs/view/3530822107858671257/,"I'da Called You Woody, Joe",2008,The Gaslight Anthem,"I was crawling around in my head in the haze of a trance
Rico said, ""I'ma turn you onto a sound, cool out your head
This is the sound from Camden town.""

And then I heard it like a shot from my skull to my brain
I felt my fingertips tingle and it started to rain
When the walls of my bedroom were tremblin' around me
This ramshackle voice over attack of a blues beat
Tellin' me ""He's only looking for fun""

And this was the sound of the very last gang in town
As heard by my wild young heart like directions on a cold dark night
Sayin' ""Let it out, let it out, let it out 
You're doin' all right.""

And I heard it in his chain gang soul
How it wasn't just the same sad song
Sayin' ""Let it out, let it out, let it out
You're doin' all right.""

And I carried these songs like a comfort wherever I'd go
And they was there when my summers was high 
And there when she left me alone.
Saying, ""the soul is hard to find""

And I never got to tell him so I just wrote it down
I wrapped a couple chords around it and I let it come out
When the walls of my bedroom trembled around me
This ramshackle voice over attack of a blues beat
And a girl, on the excitement gang

And this was the sound of the very last gang in town
As heard by my wild young heart like directions on a cold dark night
Sayin', ""Let it out, let it out, let it out 
You're doin' all right.""

And I heard it in his chain gang soul
How it wasn't just the same sad song
Sayin', ""Let it out, let it out, let it out
You're doin' all right.""

That was the sound
I hear the sound
Do you hear the sound?
I hear the sound
Of the very last gang in town
"
Sink or Swim,https://songmeanings.com/songs/view/3530822107858671618/,Angry Johnny and the Radio,2008,The Gaslight Anthem,"Don't think twice
I still believe it John, we lived those nights
Like we were dyin' on the long haul drives
For our Maria, with the ragged sails high
And the radio on

And I always have remembered, in case you're wonderin'
84 takes a lifetime but Bobby does it better
I still sing 'em ragged for you and Maria
I don't drive nowhere without the radio on

And I'm still here singin', thinkin' 'bout the government
In my old man's shoes, and how you'd understand that
Are you hidin' in a basement mixin' up the medicine?
Every April Fools I say your name

I know your name
I still know your name

And I always have remembered, in case you're wonderin'
84 takes a lifetime but Bobby does it better
I still sing 'em ragged for you and Maria
I don't drive nowhere without the radio on

And on and on and on and on and on

And I always have remembered, in case you're wonderin'
84 takes a lifetime but Bobby does it better
I still sing 'em ragged for you and Maria
I don't drive nowhere without the radio on

We always loved the sad, sad songs
"
Sink or Swim,https://songmeanings.com/songs/view/3530822107858671631/,Drive,2008,The Gaslight Anthem,"In my head I am already gone
Side roads boarded up, decisions decided on
But in my nights there are restless hours
When three A-M comes down and nothing else comes up

And the only thing we know
Is it's getting dark and we'd better go
And the only thing we see
Are the despairs of the day

And if you're too tired
Go to sleep my brothers, I
And if you're too tired
Go to sleep my brothers, I'm all right to drive

And in my heart I'm the weary kind
I'm much tired to cry
Though it's sad enough for tears
It's been try, fail, try for years

And when the next year comes along
I don't know if I'll be home
I don't know if we'll survive

And the only thing we know
Is it's getting dark and we'd better go
And the only thing we see
Are the despairs of the day

And if you're too tired
Go to sleep my brothers, I
And if you're too tired
Go to sleep my brothers, I'm all right to drive

And we're much too young of men
To carry such heavy heads
And tonight for the first time
It felt good to be alive

Yeah, we're much too young of men
To carry such heavy heads
And tonight for the first time
It felt good to be alive again, my friend

Only thing we know
It's getting dark and we'd better go
And the only thing we see
Are the despairs of the day

And if you're too tired
Go to sleep my brothers, I
And if you're too tired
Go to sleep my brothers, I
And if you're too tired
Go to sleep my brothers, I
And if you're too tired
Go to sleep my brothers, I'm all right to drive
"
Sink or Swim,https://songmeanings.com/songs/view/3530822107858671635/,"We're Getting a Divorce, You Keep the Diner",2008,The Gaslight Anthem,"We were the magnificent dreamers
In secret lamplight hideouts
We swore the world couldn't break us
Even when the world took us down

So here I am strugglin' out in the mighty jungle
Movin' eighteen miles a minute but not slowing down for nothin'
I look to my left and I look to my right
And I'm callin' out for my brothers but it's so dark in this night
Am I alone?

Did they fall down by the wayside?
Was I movin' too blind to see them?
Were they callin' out to me?
Or did despair set in?

Were the things that we wanted when we were still 16
Only passing and fleeting or just too far out of reach?
Were you hard up or broken man, I woulda helped you out
Were you numb and distracted when I was calling out?
I was calling out

On a Sunday morning the whole crowd assembled
I've done some things that I'm not too proud of
I've never left you, a deaf ear for longing
Some hearts are gallows, I'm not here for hangin' around

It's all right, man
I'm only bleeding, man
Stay hungry, stay free
And do the best you can

It's all right, man
I'm only bleeding, man
Stay hungry, stay free
And do the best you can
"
Sink or Swim,https://songmeanings.com/songs/view/3530822107858671636/,Red at Night,2008,The Gaslight Anthem,"I was born in a town where the rivers flow free
On a January night when the cold winds freeze
I got an Irish name and an injury
A blessing and a curse cast down on me

Ain't nobody got the blues like me
Ain't nobody got the blues like me

It was a blood red sky on the morning tide
There was a cold wind blowin' when I left that night
And the warning bells rang, all right, all right
Shoulda stayed home with you that night

Ain't nobody played the fool like I
Ain't nobody played the fool like I

Things got bad and things got worse
Half like a blessing, half like a curse
Seems a blessing's so hard to see sometimes
Got a little clearer 'bout dusk last night

Ain't nobody got a blessing like mine
Ain't nobody got a blessing like mine

It's a red sky night and I'm doin' all right
Red sky night and I'm doin' just fine
"
The '59 Sound,https://songmeanings.com/songs/view/3530822107858727962/,Great Expectations,2009,The Gaslight Anthem,"Mary, this station is playing every sad song
I remember like we were alive
I heard it Sunday morn' from inside of these walls
In a prison cell, where we spent those nights

And they burned up the diner where I always used to find her
Licking young boys' blood from her claws
And I learned about the blues from this kitten I knew
Her hair was raven and her heart was like a tomb

My heart's like a wound

And I saw tail lights last night in a dream about my first wife
Everybody leaves and I'd expect as much from you
I saw tail lights last night in a dream about my old life
Everybody leaves, so why, why wouldn't you?

Mary, I worried and stalled every night of my life
Better safe than making the party
And I never had a good time, I sat by my bedside
With papers and poetry about Estella

With great expectations
We had the greatest of expectations

And I saw tail lights last night in a dream about my first wife
Everybody leaves and I'd expect as much from you
I saw tail lights last night in a dream about my old life
Everybody leaves, so why, why wouldn't you?

It's funny how the night moves
Humming a song from 1962

We were always waiting
Always waiting
We were always waiting for something to happen

I saw tail lights last night in a dream about my first wife
Everybody leaves and I'd expect as much from you
I saw tail lights last night in a dream about my old life
Everybody leaves and why, why wouldn't you?
"
The '59 Sound,https://songmeanings.com/songs/view/3530822107858727964/,The '59 Sound,2009,The Gaslight Anthem,"Well, I wonder which song they're gonna play when we go.
I hope it's something quiet and minor and peaceful and slow.
When we float out into the ether, into the Everlasting Arms,
I hope we don't hear Marley's chains we forged in life.

'Cause the chains I been hearing now for most of my life,
The chains I been hearing now for most of my life.

Did you hear the fifty-nine Sound coming through on grandmother's radio?
Did you hear the rattling chains in the hospital walls?
Did you hear the old gospel choir when they came to carry you over?
Did you hear your favorite song one last time?

And I wonder were you scared when the metal hit the glass?
See, I was playing a show down the road
When your spirit left your body.
And they told me on the front lawn.
I'm sorry I couldn't go,
But I still know the song and the words and her name and the reasons.
And I know 'cause we were kids and we used to hang
I know 'cause we were kids and we used to hang

Did you hear the fifty-nine sound coming through on grandmother's radio?
Did you hear the rattling chains in the hospital walls?
Did you hear the old gospel choir when they came to carry you over?
Did you hear your favorite song one last time?

Young boys, young girls, 
Young boys, young girls,
Young boys, young girls,
Young boys, young girls,

Ain't supposed to die on a Saturday night,
Ain't supposed to die on a Saturday night,
Ain't supposed to die on a Saturday night,
Ain't supposed to die on a Saturday night,

Did you hear the fifty-nine sound coming through on grandfather's radio?
Did you hear the rattling chains in the hospital walls?
Did you hear the old gospel choir when they came to carry you over?
Did you hear your favorite song one last time?

Young boys, young girls,
Young boys, young girls.
"
The '59 Sound,https://songmeanings.com/songs/view/3530822107858728256/,Old White Lincoln,2009,The Gaslight Anthem,"Out of the car, longhair!

If I could write, I'd tell you how much I've missed these nights
Where we'd dig around the bones
And try to find peace and patches for the holes
I lit a cigarette on a parking meter
The corner boys told her how I was dyin' to meet her
Like a prayer I said on a dead man's knee
You drove up like a parade

You and your high-top sneakers and your sailor tattoos
And your old fifty-five that you drove through the roof
Of the sky up above these indifferent stars
While you just kept coming apart

You and your high-top sneakers and your sailor tattoos
And your old fifty-five that you drove through the roof
Of the sky up above these indifferent stars
While you just kept coming apart straight in my arms
Fell straight in my arms

And I miss it sometimes
Shakin' like a leaf on the corner of Vine
But I heard it's alright
The radio spoke to a good friend of mine
And I can feel it comin' up as the night's gettin' warm
I saw your summer dress hangin' on the back of the lawn
Like a dream I remember from an easier time
With the top rolled down on a Saturday night

You and your high-top sneakers and your sailor tattoos
And your old fifty-five that you drove through the roof
Of the sky up above these indifferent stars
While you just kept coming apart

You and your high-top sneakers and your sailor tattoos
And your old fifty-five that you drove through the roof
Of the sky up above these indifferent stars
While you just kept coming apart right in my arms
Right in my arms

And I always dreamed of classic cars and movie screens
And tryin' to find some way to be redeemed
Bring a dollar with you, baby
In the cold, cold ground

You and your high-top sneakers and your sailor tattoos
And your old fifty-five that you drove through the roof
Of the sky up above these indifferent stars
While you just kept coming apart

You and your high-top sneakers and your sailor tattoos
And your old fifty-five that you drove through the roof
Of the sky up above these indifferent stars
While you just kept coming apart
You fell straight in my arms
You fell straight in my arms
"
The '59 Sound,https://songmeanings.com/songs/view/3530822107858730200/,High Lonesome,2009,The Gaslight Anthem,"So the ambulances came
They took your pulse and packed up your things
And the papers read
Some boys forget what the heartache brings

And the pounding in the street
Was your heart in four-four time
And the taste of defeat
Was never too far from your mind

And Maria came from Nashville with a suitcase in her hand
I always kinda sorta wished I looked like Elvis
And in my head there's all these classic cars and outlaw cowboy bands
I always kinda sorta wished I was someone else

So gravity came
And stole the temple that the schoolboys praised
And the crowd shuffled in
You're getting drinks for the same boys who once bought you everything

And the powder on the bar was just this one time
The patter on the bar was just this one night
And only to get by

And Maria came from Nashville with a suitcase in her hand
I always kinda sorta wished I looked like Elvis
And in my head there's all these classic cars and outlaw cowboy bands
I always kinda sorta wished I was someone else

There was ""Southern Accents"" on the radio as I drove home
And at night I wake up with the sheets soaking wet
It's a pretty good song, baby you know the rest
Baby, you know the rest

And Maria came from Nashville with a suitcase in her hand
Always kinda sorta wished I looked like Elvis
And in my head there's all these classic cars and outlaw cowboy bands
I always kinda sorta wished I was someone else

When our boots they hit the ground
They made a high and lonesome sound
When our boots they hit the ground
They made a high and lonesome sound
When our boots they hit the ground
They made a high and lonesome sound

When our boots they hit the ground
Down from the clouds
They made a high and lonesome sound
"
The '59 Sound,https://songmeanings.com/songs/view/3530822107858727997/,Film Noir,2009,The Gaslight Anthem,"I'm all washed out by the side of the road
Broken bones Matilda left a note and a rose
Sayin', ""Baby honey child, I've loved you so long
But you deserve much better than me.""

So I'm just burnin' all around all the miles in the road
And I'm never goin' back and I'm never goin' home
I've been gone too long, I've been less right than wrong
I lost so much blood in the fallin' out

And I lit a fire that wouldn't go out
Until it consumed the walls and roof of this house
Until all I remember was burnin' away
And all I remember, you burned it away

See, for ten long years I've been hustlin' around
Tryin' to wash the sins and the sweat from my brow
Just tryin' to find a better life for me and my own
Just some rest for these tired workin' fingers

But nobody never gonna tell you the way
You gotta figure it out boys and suffer the rain
And the fools in the night and the heat of the day
When all you ever really wanted was for someone to understand

And I lit a fire that wouldn't go out
Until it consumed the walls and roof of this house
Until all I remember was burnin' away
And all I remember, you burned it away

Well, don't you take it so hard and baby, don't you cry
You cross your hard heart and you hope to die
Don't you tell me no more lies, you lied all the time
Don't you tell me no more lies, you lied every night

And you're sugar and spice and everything nice
You got Monroe hips, your poisoned lips and knives
And you're sugar and spice and everything nice
You got open wounds in a young boy's pride

And you're sugar and spice and everything nice
You got Monroe hips, your poisoned lips and knives
Sugar and spice, everything nice
Open wounds in a young boy's pride

And I lit a fire that wouldn't go out
Until it consumed the walls and roof of this house
Until all I remember was burnin' away
And all that you left me, you burned it away

Well, don't you take it so hard and baby, don't you cry
You cross your hard heart and you hope to die
Don't you tell me no more lies, you lied all the time
Don't you tell me no more lies, you lied every night

Time, time tickin' away
Time, time tickin' away
Time, time tickin' away
Time, time tickin' away
"
The '59 Sound,https://songmeanings.com/songs/view/3530822107858727998/,Miles Davis and the Cool,2009,The Gaslight Anthem,"Like Miles Davis, I've been swayed by the cool
There's just something 'bout the summertime, there's just something 'bout the moon
So I laid a kiss on a stone, tossed it upside your window by the roof
Before you change your mind, Miles, bring in the cool

Honey, put on your red dress and your diamond-soled shoes
Climb on out from that window, climb on out of your room
'Cause I never had a good thing and I always had the blues
But I heard that you always kinda wondered, Miles, strike up the cool

Don't wait too long to come home
My, how the years and our youth passed on
Don't wait too long to come home
I will leave the front light on
And the night is our own
Don't wait too long

Like poor Mr. Pitiful, I can't turn you loose
You move like a dream I had, I woke up sweating in my room
But your mama's got plans and your daddy's aim is true
She never understood that it ain't no good, papa never heard the cool

So now I've got up my nerve and found me a stone
With a flick of the wrist and a turn of the key, you'll just fall in my arms

And don't wait too long to come home
My, how the years and our youth passed on
Don't wait too long to come home
I will leave the front light on
And the night is our own
Don't wait too long

So why don't you sing to me on this long drive home
And let the sound of your voice sway sweet and slow
As we go down, down, down from our youth to the ground
Down, down, down from our youth to the ground

We might always be blue
Jackson

Don't wait too long to come home
My, how the years and our youth passed on
Don't wait too long to come home
I will leave the front light on

No, don't wait too long to come home
My, how the years and our youth passed on
Don't wait too long to come home
I will leave the front light on

As we go down, down, down from our youth to the ground
Down, down, down from our youth to the ground
Down, down, down from our youth to the ground
Down, down, down, down, down
"
The '59 Sound,https://songmeanings.com/songs/view/3530822107858732609/,The Patient Ferris Wheel,2009,The Gaslight Anthem,"Not tonight, not tonight
Honey I, am on fire
I can't feel a single thing but the weight of the wires

Crackin' electric light
Remember baby, we were a stone
And we would sleep where we're fallin'

We would fight about it (fight about it)
We'd fight about it (fight about it)
Then we laughed about it (laughed about it)
And we'd ride on, ride on
Ferris wheel lights on

I'd never felt so strange
Standin' in the Jersey rain
Thinkin' about what an old man said
Maybe I should call me an ambulance

I never felt so strange
Standin' in the poundin' rain
Thinkin' about what my mother once said
Maybe I should call me an ambulance

Not tonight, not tonight
Honey I, am on fire
If we don't come through, they're gonna bury us alive

In this great abyss
Of just what might have been
Where we can take a seat at the bar with the other broken heroes

Where they talk about it (talk about it)
Just talk about it (talk about it)
And do nothin' 'bout it (nothin' 'bout it)
Right on, right on
Ferris wheel lights on

I'd never felt so strange
Standin' in the Jersey rain
Thinkin' about what an old man said
Maybe I should call me an ambulance

I'd never felt so strange
Standin' in the poundin' rain
Thinkin' about what my mother once said
Maybe I should call me an ambulance

I'd never felt so strange
Standin' in the Jersey rain
Thinkin' about what Wagin' Matty said
Maybe I should call me an ambulance

Maybe I should call me an ambulance

I'd never felt so strange
Standin' in the Jersey rain
Thinkin' about what an old man said
Maybe I should call me an ambulance

I'd never felt so strange
Standin' in the poundin' rain
Thinkin' about what my mama always said
Maybe I should call me an ambulance

Carnival lights
Fourth of July
Boardwalk talks
In the dead of night

Always made you smile
Always made you smile
Always made you smile
"
